ticker,market_cap,beta,P/E
BCMXY,72.812B,0.10,5.38
MURGF,72.76B,0.34,9.54
CNI,73.899B,1.00,22.81
BAM,73.173B,1.25,29.38
SPG,85.571B,1.35,15.66
XIACY,74.593B,0.68,12.60
RBSPF,72.194B,0.82,9.86
MKGAF,72.134B,0.81,24.99
COHR,67.13B,2.05,163.40
ARZGY,72.116B,0.66,15.73
XIACF,75.674B,0.68,12.78
NOK,69.363B,0.78,77.66
NTTYY,73.672B,-0.18,11.60
HONA,74.703B,N/A,49.62
ICE,73.833B,0.92,19.00
MKKGY,71.651B,0.81,24.78
NSC,72.315B,1.27,27.13
NWG,72.154B,0.82,9.85
MURGY,72.874B,0.34,9.57
CHGCF,71.443B,0.55,26.63
ANZGY,72.746B,0.57,17.76
ANZGF,71.196B,0.57,17.39
TRV,71.646B,0.50,10.06
GS-PA,N/A,1.29,0.37
KMI,71.127B,0.54,21.46
NXPI,69.687B,1.79,26.36
CRH,71.568B,1.19,19.87
HON,70.735B,0.93,17.82
HONAV,70.047B,N/A,46.43
PSX,71.008B,0.67,17.50
CTAS,71.783B,0.93,37.85
URI,68.685B,1.82,28.02
WFAFY,68.616B,0.81,32.49
MSI,70.026B,0.89,34.02
DHLGY,72.127B,1.13,17.99
VOLVF,70.561B,0.98,20.90
TCANF,N/A,0.98,5.47
JPPTY,68.781B,0.40,21.22
EOG,69.37B,0.26,12.81
TRP,68.913B,0.98,27.68
APO,68.531B,1.49,74.76
WFAFF,68.253B,0.81,32.32
APD,69.067B,0.75,32.65
VLVLY,70.154B,0.98,20.78
GM,67.589B,1.30,27.36
ROST,68.599B,0.87,29.87
MFC,67.818B,0.78,16.69
JPSTF,67.677B,0.40,20.88
SLB,67.405B,0.71,19.86
WBD,66.853B,1.55,N/A
EIPAF,67.215B,0.22,20.36
GS-PD,N/A,1.29,0.37
USB-PP,N/A,1.00,4.61
DPSTF,66.897B,1.13,16.98
TER,61.21B,1.79,72.72
AVIKF,66.824B,0.04,22.64
MS-PI,N/A,1.22,3.18
MS-PA,N/A,1.22,2.41
PCRFF,66.66B,0.86,57.10
JAPAF,66.576B,0.14,21.55
E,68.092B,0.22,20.63
SFBQF,66.482B,0.07,19.86
RSG,66.212B,0.41,30.83
RACE,67.403B,0.60,37.45
MQBKY,66.699B,0.88,25.33
PCRHY,66.59B,0.86,57.04
FIX,63.806B,1.67,52.28
ET,66.001B,0.54,15.98
NBNKF,65.499B,0.63,12.45
REGN,67.767B,0.24,15.77
CIEN,61.888B,1.24,145.25
